Dia Verão;PM Verão;%PV  Verão;Qtd Ração Und  Verão;%mortalidade  Verão;GDP  Verão;Marco de Gestao;Dia Inverno;PM Inverno;%PV Inverno;Qtd Ração Und  Inverno;%mortalidade  Inverno; GDP  Inverno ;Marco de Gestao c
270;1233,42212;0,0105;12,963267;0,05%;7,197535;;270;1061,77605;0,01221;12,964286;0,05%;6,669321;
271;1240,59795;0,0105;13,038684;0,05%;7,204771;;271;1068,44537;0,01221;13,045718;0,05%;6,669321;
272;1247,77378;0,0105;13,114102;0,05%;7,212007;;272;1075,11469;0,01221;13,12715;0,05%;6,669321;
273;1254,94961;0,0105;13,18952;0,05%;7,219243;;273;1081,78401;0,01221;13,208583;0,05%;6,669321;
274;1262,12543;0,0103;13,024377;0,05%;7,226478;;274;1088,45333;0,01177;12,811096;0,05%;6,669321;
275;1269,35191;0,0103;13,09895;0,05%;7,23341;;275;1095,24214;0,01177;12,891;0,05%;6,78881;
276;1276,57839;0,0103;13,173523;0,05%;7,240342;;276;1102,03095;0,01177;12,970904;0,05%;6,78881;
277;1283,80487;0,0103;13,248096;0,05%;7,247273;;277;1108,81976;0,01177;13,050809;0,05%;6,78881;
278;1291,03135;0,0103;13,322669;0,05%;7,254205;;278;1115,60857;0,01177;13,130713;0,05%;6,78881;
279;1298,25782;0,0103;13,397242;0,05%;7,261137;;279;1122,39738;0,01177;13,210617;0,05%;6,78881;
280;1305,4843;0,0103;13,471815;0,05%;7,268068;;280;1129,18619;0,01177;13,290521;0,05%;6,78881;
